24510150500,Burleith-Leighton, Baltimore, MD,0.0258,Black
24005401507,Windsor Mill, Baltimore, MD,0.0253,Black
24510200701,Allendale, Baltimore, MD,0.0252,Black
24510272006,Glen, Baltimore, MD,0.0246,Black
24005401506,Windsor Mill, Baltimore, MD,0.0233,Black
24510250103,Violetville, Baltimore, MD,0.0222,Black
24510280403,Westgate, Baltimore, MD,0.022,Black
24510270600,Harford - Echodale - Perring Parkway, Baltimore, MD,0.0214,Black
24005402403,Gwynn Oak, Baltimore, MD,0.021,Black
24510270502,North Harford Road, Baltimore, MD,0.0159,Black
24510130700,Hampden, Baltimore, MD,0.0158,Black
24005403202,Gwynn Oak, Baltimore, MD,0.0157,Black
24510040200,Downtown, Baltimore, MD,0.0149,Black
24510270703,North Harford Road, Baltimore, MD,0.013,Black
24510272005,Cross Country, Baltimore, MD,0.0127,Black
24510271102,Mid-Charles, Baltimore, MD,0.0121,Black
24510130803,Medfield, Baltimore, MD,0.0038,Black
24510270302,Waltherson, Baltimore, MD,0.0022,Black
24510130805,Cold Springs, Baltimore, MD,0.0009,Black
24510120100,Tuscany - Canterbury, Baltimore, MD,0.0001,Black
24510130806,Woodberry, Baltimore, MD,0,Black
24510271200,Homeland, Baltimore, MD,0,Black
24510250206,Morrell Park, Baltimore, MD,0,Black
24510271501,Mount Washington, Baltimore, MD,0,Black
